1,764,885,74,36
0,778,928,61,33
0,778,1001,63,24
3,1164,1043,8,23
3,1187,962,9,21
0,1160,901,26,58
0,1203,785,24,60
0,1409,824,52,48
3,1190,684,9,23
0,1163,565,22,47
0,1374,534,46,42
0,1392,502,54,27
0,1135,339,19,37
0,1199,238,16,34
0,1395,403,45,20
0,1384,383,46,20
0,1363,236,27,18
0,1358,201,43,20
0,1359,181,45,20
0,1340,112,44,23
0,1463,162,22,35
0,1404,78,20,36
0,1471,82,20,30
0,1496,85,21,29
0,1545,88,22,31
0,1566,87,24,34
0,1647,47,20,29
0,1798,52,21,31
0,1819,53,24,31
0,1754,1,20,23
0,1862,98,24,22
2,1189,686,10,10
2,1187,963,9,11
2,1161,1041,12,15
1,846,621,31,90
0,1627,47,20,25
0,1367,253,25,21
0,1370,275,27,20
0,1735,0,19,16
0,1776,0,26,16
0,1820,2,20,25
